index,encode,new_code,rank
0,0000000000001000000000010000000010000000000000001000000,0,5
51,0000000000001000000000010000000010000000000000001000000,0,5
106,0000000000001000000000010000000010000000000000001000000,0,5
162,0000000000001000000000010000000010000000000000001000000,0,5
214,0000000000001000000000010000000010000000000000001000000,0,5
225,0000000000001000000000010000000010000000000000001000000,0,5
226,0000000000001000000000010000000010000000000000001000000,0,5
227,0000000000001000000000010000000010000000000000001000000,0,5
332,0000000000001000000000010000000010000000000000001000000,0,5
418,0000000000001000000000010000000010000000000000001000000,0,5
533,0000000000001000000000010000000010000000000000001000000,0,5
584,0000000000001000000000010000000010000000000000001000000,0,5
746,0000000000001000000000010000000010000000000000001000000,0,5
764,0000000000001000000000010000000010000000000000001000000,0,5
843,0000000000001000000000010000000010000000000000001000000,0,5
880,0000000000001000000000010000000010000000000000001000000,0,5
961,0000000000001000000000010000000010000000000000001000000,0,5
1042,0000000000001000000000010000000010000000000000001000000,0,5
1135,0000000000001000000000010000000010000000000000001000000,0,5
1150,0000000000001000000000010000000010000000000000001000000,0,5
1161,0000000000001000000000010000000010000000000000001000000,0,5
1232,0000000000001000000000010000000010000000000000001000000,0,5
1293,0000000000001000000000010000000010000000000000001000000,0,5
1302,0000000000001000000000010000000010000000000000001000000,0,5
1371,0000000000001000000000010000000010000000000000001000000,0,5
1405,0000000000001000000000010000000010000000000000001000000,0,5
1487,0000000000001000000000010000000010000000000000001000000,0,5
1515,0000000000001000000000010000000010000000000000001000000,0,5
1632,0000000000001000000000010000000010000000000000001000000,0,5
1731,0000000000001000000000010000000010000000000000001000000,0,5
1818,0000000000001000000000010000000010000000000000001000000,0,5
1857,0000000000001000000000010000000010000000000000001000000,0,5
2057,0000000000001000000000010000000010000000000000001000000,0,5
2078,0000000000001000000000010000000010000000000000001000000,0,5
2103,0000000000001000000000010000000010000000000000001000000,0,5
2143,0000000000001000000000010000000010000000000000001000000,0,5
2214,0000000000001000000000010000000010000000000000001000000,0,5
2293,0000000000001000000000010000000010000000000000001000000,0,5
2303,0000000000001000000000010000000010000000000000001000000,0,5
2307,0000000000001000000000010000000010000000000000001000000,0,5
2311,0000000000001000000000010000000010000000000000001000000,0,5
2333,0000000000001000000000010000000010000000000000001000000,0,5
2345,0000000000001000000000010000000010000000000000001000000,0,5
2349,0000000000001000000000010000000010000000000000001000000,0,5
2393,0000000000001000000000010000000010000000000000001000000,0,5
2484,0000000000001000000000010000000010000000000000001000000,0,5
2499,0000000000001000000000010000000010000000000000001000000,0,5
2502,0000000000001000000000010000000010000000000000001000000,0,5
2562,0000000000001000000000010000000010000000000000001000000,0,5
2564,0000000000001000000000010000000010000000000000001000000,0,5
2657,0000000000001000000000010000000010000000000000001000000,0,5
2689,0000000000001000000000010000000010000000000000001000000,0,5
2735,0000000000001000000000010000000010000000000000001000000,0,5
2779,0000000000001000000000010000000010000000000000001000000,0,5
2848,0000000000001000000000010000000010000000000000001000000,0,5
2860,0000000000001000000000010000000010000000000000001000000,0,5
2921,0000000000001000000000010000000010000000000000001000000,0,5
2956,0000000000001000000000010000000010000000000000001000000,0,5
2981,0000000000001000000000010000000010000000000000001000000,0,5
3058,0000000000001000000000010000000010000000000000001000000,0,5
3136,0000000000001000000000010000000010000000000000001000000,0,5
3177,0000000000001000000000010000000010000000000000001000000,0,5
3185,0000000000001000000000010000000010000000000000001000000,0,5
3211,0000000000001000000000010000000010000000000000001000000,0,5
3254,0000000000001000000000010000000010000000000000001000000,0,5
3282,0000000000001000000000010000000010000000000000001000000,0,5
3312,0000000000001000000000010000000010000000000000001000000,0,5
3454,0000000000001000000000010000000010000000000000001000000,0,5
3480,0000000000001000000000010000000010000000000000001000000,0,5
3536,0000000000001000000000010000000010000000000000001000000,0,5
3593,0000000000001000000000010000000010000000000000001000000,0,5
3614,0000000000001000000000010000000010000000000000001000000,0,5
3646,0000000000001000000000010000000010000000000000001000000,0,5
3689,0000000000001000000000010000000010000000000000001000000,0,5
3693,0000000000001000000000010000000010000000000000001000000,0,5
3819,0000000000001000000000010000000010000000000000001000000,0,5
3835,0000000000001000000000010000000010000000000000001000000,0,5
3870,0000000000001000000000010000000010000000000000001000000,0,5
4011,0000000000001000000000010000000010000000000000001000000,0,5
4019,0000000000001000000000010000000010000000000000001000000,0,5
4032,0000000000001000000000010000000010000000000000001000000,0,5
4134,0000000000001000000000010000000010000000000000001000000,0,5
4174,0000000000001000000000010000000010000000000000001000000,0,5
4293,0000000000001000000000010000000010000000000000001000000,0,5
4302,0000000000001000000000010000000010000000000000001000000,0,5
4328,0000000000001000000000010000000010000000000000001000000,0,5
4330,0000000000001000000000010000000010000000000000001000000,0,5
4426,0000000000001000000000010000000010000000000000001000000,0,5
4439,0000000000001000000000010000000010000000000000001000000,0,5
4479,0000000000001000000000010000000010000000000000001000000,0,5
4496,0000000000001000000000010000000010000000000000001000000,0,5
4512,0000000000001000000000010000000010000000000000001000000,0,5
4528,0000000000001000000000010000000010000000000000001000000,0,5
