index,encode,new_code,rank
0,00000000000000000000100000000000000011000000000000000000000000000000000000000000100010,0,504
1699,00000000000000000000100000000000000011000000000000000000000000000000000000000000100010,0,504
1,01000000000000000000101000000000000001000000000000000000000000000000000000000100100000,0,1921
2,00000000000000000001000000000000000000000000000000000000000000000000000000000000000010,0,2022
3,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
465,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
477,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
790,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
1208,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
1492,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
1596,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
1957,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
2423,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
2658,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
2782,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
2901,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
3346,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
3535,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
3985,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
4499,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
5244,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
5247,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
5286,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
5366,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
5395,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
5428,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
5658,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
5887,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
6899,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,0,47
4,00000000000000000001101100000000000010000000000000000000000000000000000000000000000000,0,1453
5,00000000000000000000100000000000000000100000000000000000000010000000000000000000000000,0,817
6,00000000000000000001000000000000100000000000000000000000000000000000000000000000000000,0,1801
7,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
923,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
1555,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
1843,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
2437,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
3218,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
4776,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
5772,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
5805,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
6273,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
6282,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
6481,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
6723,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
6971,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
7145,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
7171,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,0,71
8,00000000000000000000000000000000000000100000000000000000000000000000100000000000000000,0,251
449,00000000000000000000000000000000000000100000000000000000000000000000100000000000000000,0,251
3447,00000000000000000000000000000000000000100000000000000000000000000000100000000000000000,0,251
4199,00000000000000000000000000000000000000100000000000000000000000000000100000000000000000,0,251
9,00000000000000000100000000000000000000100000000000000000000000000000000000000010000000,0,1138
10,00000000000000000000001000000000000000000000000000000000000000000000000000000000000010,0,355
2828,00000000000000000000001000000000000000000000000000000000000000000000000000000000000010,0,355
4322,00000000000000000000001000000000000000000000000000000000000000000000000000000000000010,0,355
11,00000010000000000000000000100000000000000000000000000000000000000000000000000000000000,0,1683
12,00000010000000000001000000000000000000000001000000000000000000000000000000000000000000,0,390
1787,00000010000000000001000000000000000000000001000000000000000000000000000000000000000000,0,390
13,00000100000000000000100000000000000001000000000000000000000000000000000000100001000000,0,1021
14,00000000000000000000000000000000000010000001000000000000000000000000000000100000000000,0,509
1529,00000000000000000000000000000000000010000001000000000000000000000000000000100000000000,0,509
15,00000000000000000000001000000000000000000000000000000000000000000000000000000001000000,0,197
2939,00000000000000000000001000000000000000000000000000000000000000000000000000000001000000,0,197
3144,00000000000000000000001000000000000000000000000000000000000000000000000000000001000000,0,197
4475,00000000000000000000001000000000000000000000000000000000000000000000000000000001000000,0,197
5508,00000000000000000000001000000000000000000000000000000000000000000000000000000001000000,0,197
16,00000000000000000100000000000000000010010000000000000000000000000000000000000000000000,0,1499
17,00000010000000000000100000000000000010000000000000000000000000000000000000000000100000,0,2148
18,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
356,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
1264,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
1875,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
2056,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
2978,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
3021,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
3208,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
3227,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
3422,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
3967,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
4171,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
4433,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
4554,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
4790,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
4820,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
5186,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
5507,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
5604,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
5956,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
6228,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
6256,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
6332,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
6370,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
6675,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
6912,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
7070,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
7108,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
7226,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,0,40
19,00000000000000000000000000000000000010000000000000000000000000000000000000000000000100,0,1426
20,00000000000100000000000000000000100000100000000000000000000000000000000001000000000000,0,1117
21,00000000000000000000000000000000000000010001000000000000000000000000000000000000000000,0,284
63,00000000000000000000000000000000000000010001000000000000000000000000000000000000000000,0,284
